emoji,description
🇵🇾,Paraguay. Paraguay. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇵🇼,Palau. Palau. flag. A republic in the western central Pacific Ocean in association with the United States
👨‍🍳,"man cook. man cook. cook, chef, man. Person who cooks professionally for other people"
🏋🏽‍♂️,"man lifting weights: medium skin tone. man lifting weights: medium skin tone. weight lifter, medium skin tone, man"
🚶‍♀️,"woman walking. woman walking. walk, woman, hike. A woman is a female human."
🇵🇹,"Portugal. Portugal. flag. A country in Europe, on the Iberian Peninsula. Member state of the European Union. Official name: Portuguese Republic (República Portuguesa)."
🇵🇸,Palestinian Territories. Palestinian Territories. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇵🇷,Puerto Rico. Puerto Rico. flag. A native or resident of Puerto Rico
🇵🇳,Pitcairn Islands. Pitcairn Islands. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇵🇲,St. Pierre & Miquelon. St. Pierre & Miquelon. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇵🇱,Poland. Poland. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇵🇰,Pakistan. Pakistan. flag. West Pakistan covered the historical period of modern State of Pakistan when it was established by the One-unit program as an exclave province.
🤹🏿‍♂️,"man juggling: dark skin tone. man juggling: dark skin tone. dark skin tone, multitask, juggling, man. Juggling is a physical skill, performed by a juggler, involving the manipulation of objects for recreation, entertainment, art, or sport."
🤦🏾‍♀️,"woman facepalming: medium-dark skin tone. woman facepalming: medium-dark skin tone. exasperation, disbelief, medium-dark skin tone, woman, facepalm. A woman is a female human."
🇵🇭,"Philippines. Philippines. flag. The National Flag of the Philippines commonly known as the Three Stars and a Sun is a horizontal flag bicolor with equal bands of royal blue and scarlet red, and with a white equilateral triangle at the hoist; in the center of the triangle is a golden yellow sun with eight primary rays, which represent the country's first group of provinces that started the 1896 Philippine Revolution against Spain; and at each vertex of the triangle is a five-pointed golden yellow star, each of which represents one of the country's three main island groups-Luzon, Visayas, and Mindanao."
🇵🇬,Papua New Guinea. Papua New Guinea. flag. The southern part of Papua New Guinea.
🇵🇫,French Polynesia. French Polynesia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇵🇪,Peru. Peru. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🤷🏽‍♂️,"man shrugging: medium skin tone. man shrugging: medium skin tone. indifference, shrug, ignorance, medium skin tone, man, doubt. A gesture involving the shoulders"
👩🏾‍🍳,"woman cook: medium-dark skin tone. woman cook: medium-dark skin tone. cook, chef, medium-dark skin tone, woman. Person who cooks professionally for other people"
⌨,"keyboard. keyboard. computer. Engineering physics is the study of the combined disciplines of physics, engineering and mathematics in order to develop an understanding of the interrelationships of these three disciplines."
🇵🇦,Panama. Panama. flag. A person from Panama City.
🙎🏾‍♀️,"woman pouting: medium-dark skin tone. woman pouting: medium-dark skin tone. pouting, gesture, medium-dark skin tone, woman. A woman is a female human."
👷🏻‍♀️,"woman construction worker: light skin tone. woman construction worker: light skin tone. light skin tone, woman, worker, construction. A woman is a female human."
⌛,"hourglass. hourglass. sand, timer. A device that measures the passage of a few minutes or an hour of time thanks to sand flowing through a narrow passage from one vessel to another."
⌚,"watch. watch. clock. A watch is a small timepiece intended to be carried or worn by a person, so as to make the time immediately and conveniently available."
👨🏾‍⚕️,"man health worker: medium-dark skin tone. man health worker: medium-dark skin tone. doctor, nurse, medium-dark skin tone, healthcare, therapist, man. Someone who practices medicine"
🚵🏼‍♂️,"man mountain biking: medium-light skin tone. man mountain biking: medium-light skin tone. bicycle, cyclist, bike, mountain, medium-light skin tone, man. Off-road cycling using a mountain bike"
👂🏿,"ear: dark skin tone. ear: dark skin tone. dark skin tone, body. The act of hearing attentively"
👂🏾,"ear: medium-dark skin tone. ear: medium-dark skin tone. body, medium-dark skin tone. The act of hearing attentively"
👂🏽,"ear: medium skin tone. ear: medium skin tone. body, medium skin tone. The act of hearing attentively"
👂🏼,"ear: medium-light skin tone. ear: medium-light skin tone. body, medium-light skin tone. The act of hearing attentively"
👂🏻,"ear: light skin tone. ear: light skin tone. body, light skin tone. The act of hearing attentively"
🏌🏽‍♀️,"woman golfing: medium skin tone. woman golfing: medium skin tone. woman, golf, medium skin tone"
🏊🏻‍♀️,"woman swimming: light skin tone. woman swimming: light skin tone. light skin tone, swim, woman. A woman is a female human."
👨‍🌾,"man farmer. man farmer. farmer, gardener, rancher, man. Person who grows then harvests food"
🏄‍♀️,"woman surfing. woman surfing. woman, surfing. A woman is a female human."
🕵🏻‍♂️,"man detective: light skin tone. man detective: light skin tone. sleuth, light skin tone, spy, detective, man"
🤸🏽‍♀️,"woman cartwheeling: medium skin tone. woman cartwheeling: medium skin tone. gymnastics, woman, cartwheel, medium skin tone. A woman is a female human."
👳🏾‍♂️,"man wearing turban: medium-dark skin tone. man wearing turban: medium-dark skin tone. turban, medium-dark skin tone, man. Sexual maturity is the age or stage when an organism can reproduce."
💇‍♀️,"woman getting haircut. woman getting haircut. woman, haircut. A woman is a female human."
👱🏼‍♂️,"blond-haired man: medium-light skin tone. blond-haired man: medium-light skin tone. medium-light skin tone, blond, man. A light and yellowish, brownish or golden hair color."
👩🏾‍🌾,"woman farmer: medium-dark skin tone. woman farmer: medium-dark skin tone. farmer, gardener, medium-dark skin tone, woman, rancher. Person who grows then harvests food"
🖕🏿,"middle finger: dark skin tone. middle finger: dark skin tone. dark skin tone, hand, finger. One of the long extremities of the hand, sometimes excluding the thumb."
🖕🏾,"middle finger: medium-dark skin tone. middle finger: medium-dark skin tone. hand, medium-dark skin tone, finger. One of the long extremities of the hand, sometimes excluding the thumb."
🖕🏽,"middle finger: medium skin tone. middle finger: medium skin tone. hand, finger, medium skin tone. One of the long extremities of the hand, sometimes excluding the thumb."
🖕🏼,"middle finger: medium-light skin tone. middle finger: medium-light skin tone. hand, medium-light skin tone, finger. One of the long extremities of the hand, sometimes excluding the thumb."
🖕🏻,"middle finger: light skin tone. middle finger: light skin tone. light skin tone, hand, finger. One of the long extremities of the hand, sometimes excluding the thumb."
👨🏿‍🔬,"man scientist: dark skin tone. man scientist: dark skin tone. mathematician, engineer, dark skin tone, physicist, chemist, biologist, scientist, man. Professional practitioner of engineering"
🚶🏼‍♀️,"woman walking: medium-light skin tone. woman walking: medium-light skin tone. walk, medium-light skin tone, woman, hike. A woman is a female human."
🙅‍♀️,"woman gesturing NO. woman gesturing NO. hand, forbidden, gesture, woman, prohibited, no. A woman is a female human."
👨🏻‍🔬,"man scientist: light skin tone. man scientist: light skin tone. mathematician, engineer, light skin tone, physicist, chemist, biologist, scientist, man. Professional practitioner of engineering"
👩🏼‍🚒,"woman firefighter: medium-light skin tone. woman firefighter: medium-light skin tone. firetruck, medium-light skin tone, firefighter, woman. A woman is a female human."
👨🏿‍🔧,"man mechanic: dark skin tone. man mechanic: dark skin tone. dark skin tone, electrician, tradesperson, plumber, mechanic, man. A skilled worker capable of building or repairing machinery. A mechanic can be compared to a technician, the distinction being that the technician is stronger in theory, the mechanic stronger in hands-on experience."
👨🏻‍🔧,"man mechanic: light skin tone. man mechanic: light skin tone. light skin tone, electrician, tradesperson, plumber, mechanic, man. A skilled worker capable of building or repairing machinery. A mechanic can be compared to a technician, the distinction being that the technician is stronger in theory, the mechanic stronger in hands-on experience."
🇶🇦,Qatar. Qatar. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
⛹🏻‍♀️,"woman bouncing ball: light skin tone. woman bouncing ball: light skin tone. light skin tone, woman, ball"
🙋🏿,"person raising hand: dark skin tone. person raising hand: dark skin tone. dark skin tone, hand, gesture, raised, happy. A woman is a female human."
🙋🏾,"person raising hand: medium-dark skin tone. person raising hand: medium-dark skin tone. hand, gesture, raised, medium-dark skin tone, happy. A woman is a female human."
🙋🏽,"person raising hand: medium skin tone. person raising hand: medium skin tone. hand, gesture, raised, happy, medium skin tone. A woman is a female human."
👩🏼‍🚀,"woman astronaut: medium-light skin tone. woman astronaut: medium-light skin tone. rocket, medium-light skin tone, woman, astronaut. A woman is a female human."
🙋🏼,"person raising hand: medium-light skin tone. person raising hand: medium-light skin tone. hand, medium-light skin tone, gesture, raised, happy. A woman is a female human."
🙋🏻,"person raising hand: light skin tone. person raising hand: light skin tone. light skin tone, hand, gesture, raised, happy. A woman is a female human."
🏄🏾‍♂️,"man surfing: medium-dark skin tone. man surfing: medium-dark skin tone. medium-dark skin tone, surfing, man. Sexual maturity is the age or stage when an organism can reproduce."
👨🏾‍⚖️,"man judge: medium-dark skin tone. man judge: medium-dark skin tone. medium-dark skin tone, justice, scales, man. Judges are officials who presides over a court of law, either alone or as part of a panel, and make determinations about the applicability of the law to the facts presented."
👃🏿,"nose: dark skin tone. nose: dark skin tone. dark skin tone, body. The male genitals."
👃🏾,"nose: medium-dark skin tone. nose: medium-dark skin tone. body, medium-dark skin tone. The male genitals."
👃🏽,"nose: medium skin tone. nose: medium skin tone. body, medium skin tone. The male genitals."
👃🏼,"nose: medium-light skin tone. nose: medium-light skin tone. body, medium-light skin tone. The male genitals."
👃🏻,"nose: light skin tone. nose: light skin tone. body, light skin tone. The male genitals."
🙇🏿‍♀️,"woman bowing: dark skin tone. woman bowing: dark skin tone. favor, dark skin tone, apology, gesture, woman, sorry, bowing. A woman is a female human."
🇷🇼,Rwanda. Rwanda. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇷🇺,Russia. Russia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🤘🏿,"sign of the horns: dark skin tone. sign of the horns: dark skin tone. dark skin tone, hand, horns, finger, rock-on. A look that is believed by many cultures to be able to cause injury or bad luck for the person at whom it is directed"
🚶‍♂️,"man walking. man walking. walk, hike, man. Sexual maturity is the age or stage when an organism can reproduce."
🤘🏾,"sign of the horns: medium-dark skin tone. sign of the horns: medium-dark skin tone. hand, medium-dark skin tone, horns, finger, rock-on. A look that is believed by many cultures to be able to cause injury or bad luck for the person at whom it is directed"
🤘🏽,"sign of the horns: medium skin tone. sign of the horns: medium skin tone. hand, horns, finger, rock-on, medium skin tone. A look that is believed by many cultures to be able to cause injury or bad luck for the person at whom it is directed"
🤘🏼,"sign of the horns: medium-light skin tone. sign of the horns: medium-light skin tone. hand, medium-light skin tone, horns, finger, rock-on. A look that is believed by many cultures to be able to cause injury or bad luck for the person at whom it is directed"
🇷🇸,Serbia. Serbia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🤘🏻,"sign of the horns: light skin tone. sign of the horns: light skin tone. light skin tone, hand, horns, finger, rock-on. A look that is believed by many cultures to be able to cause injury or bad luck for the person at whom it is directed"
🖖🏿,"vulcan salute: dark skin tone. vulcan salute: dark skin tone. spock, dark skin tone, hand, vulcan, finger. Used in the Star Trek series"
🖖🏾,"vulcan salute: medium-dark skin tone. vulcan salute: medium-dark skin tone. spock, hand, vulcan, medium-dark skin tone, finger. Used in the Star Trek series"
🖖🏽,"vulcan salute: medium skin tone. vulcan salute: medium skin tone. spock, hand, vulcan, finger, medium skin tone. Used in the Star Trek series"
🖖🏼,"vulcan salute: medium-light skin tone. vulcan salute: medium-light skin tone. spock, hand, vulcan, medium-light skin tone, finger. Used in the Star Trek series"
🇷🇴,Romania. Romania. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🖖🏻,"vulcan salute: light skin tone. vulcan salute: light skin tone. spock, light skin tone, hand, vulcan, finger. Used in the Star Trek series"
💆🏽‍♀️,"woman getting massage: medium skin tone. woman getting massage: medium skin tone. woman, face, medium skin tone, massage. A woman is a female human."
🤦🏾‍♂️,"man facepalming: medium-dark skin tone. man facepalming: medium-dark skin tone. exasperation, disbelief, medium-dark skin tone, facepalm, man. Doubt, a status between belief and disbelief, involves uncertainty or distrust or lack of sureness of an alleged fact, an action, a motive, or a decision."
🇷🇪,Réunion. Réunion. flag. French island and overseas department in the Indian Ocean
🙎🏾‍♂️,"man pouting: medium-dark skin tone. man pouting: medium-dark skin tone. pouting, gesture, medium-dark skin tone, man. Sexual maturity is the age or stage when an organism can reproduce."
👷🏻‍♂️,"man construction worker: light skin tone. man construction worker: light skin tone. light skin tone, worker, man, construction. Tradesman, labourer, or professional employed in the physical construction of the built environment"
🤷‍♂️,"man shrugging. man shrugging. indifference, shrug, ignorance, man, doubt. A gesture involving the shoulders"
🙌🏿,"raising hands: dark skin tone. raising hands: dark skin tone. dark skin tone, hooray, hand, gesture, raised, celebration. The act of expressing approval or admiration; commendation; laudation."
🙌🏾,"raising hands: medium-dark skin tone. raising hands: medium-dark skin tone. hooray, hand, gesture, raised, medium-dark skin tone, celebration. The act of expressing approval or admiration; commendation; laudation."
🙌🏽,"raising hands: medium skin tone. raising hands: medium skin tone. hooray, hand, gesture, raised, celebration, medium skin tone. The act of expressing approval or admiration; commendation; laudation."
🙌🏼,"raising hands: medium-light skin tone. raising hands: medium-light skin tone. hooray, hand, medium-light skin tone, gesture, raised, celebration. The act of expressing approval or admiration; commendation; laudation."
🙌🏻,"raising hands: light skin tone. raising hands: light skin tone. hooray, light skin tone, hand, gesture, raised, celebration. The act of expressing approval or admiration; commendation; laudation."
🤼‍♀️,"women wrestling. women wrestling. wrestle, women. A woman is a female human."
👨‍❤️‍👨,"couple with heart: man, man. couple with heart: man, man. love, couple, man. A pair who associate with one another"
🃏,"joker. joker. wildcard, game, card. A playing card whose value can be determined by the person who holds it"
🏌🏽‍♂️,"man golfing: medium skin tone. man golfing: medium skin tone. golf, medium skin tone, man"
7️⃣,keycap: 7. keycap: 7. keycap. A concept of quantity involving zero and units
🏊🏻‍♂️,"man swimming: light skin tone. man swimming: light skin tone. light skin tone, swim, man. Sexual maturity is the age or stage when an organism can reproduce."
3️⃣,keycap: 3. keycap: 3. keycap. A concept of quantity involving zero and units
⤵,"right arrow curving down. right arrow curving down. arrow, down. A mark to indicate a direction or relation"
⤴,right arrow curving up. right arrow curving up. arrow. A mark to indicate a direction or relation
🤸🏽‍♂️,"man cartwheeling: medium skin tone. man cartwheeling: medium skin tone. gymnastics, cartwheel, medium skin tone, man. A sport that involves exercises intended to display strength and balance and agility"
💇‍♂️,"man getting haircut. man getting haircut. man, haircut. Way hair is cut."
🇸🇿,Swaziland. Swaziland. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇸🇾,Syria. Syria. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇸🇽,"Sint Maarten. Sint Maarten. flag. Saint Martin is an island in the northeast Caribbean, approximately east of Puerto Rico."
🙍🏼‍♀️,"woman frowning: medium-light skin tone. woman frowning: medium-light skin tone. frowning, medium-light skin tone, gesture, woman. A woman is a female human."
🇸🇻,El Salvador. El Salvador. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
👮🏿‍♀️,"woman police officer: dark skin tone. woman police officer: dark skin tone. dark skin tone, officer, woman, police, cop. Any person in the armed services who holds a position of authority or command"
🤙🏿,"call me hand: dark skin tone. call me hand: dark skin tone. dark skin tone, hand, call. A connection established over a telephone network between two parties."
🤙🏾,"call me hand: medium-dark skin tone. call me hand: medium-dark skin tone. hand, medium-dark skin tone, call. A connection established over a telephone network between two parties."
🤙🏽,"call me hand: medium skin tone. call me hand: medium skin tone. hand, call, medium skin tone. A connection established over a telephone network between two parties."
🇸🇹,"São Tomé & Príncipe. São Tomé & Príncipe. flag. The flag of São Tomé and Príncipe consists of a red triangle situated at the hoist, with three horizontal green, yellow and green bands charged with two five-pointed black stars at the center."
🤙🏼,"call me hand: medium-light skin tone. call me hand: medium-light skin tone. hand, medium-light skin tone, call. A connection established over a telephone network between two parties."
🇸🇸,South Sudan. South Sudan. flag. A republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
🤙🏻,"call me hand: light skin tone. call me hand: light skin tone. light skin tone, hand, call. A connection established over a telephone network between two parties."
🇸🇷,"Suriname. Suriname. flag. The flag of Suriname is formed by five horizontal bands of green, white, red, white, and green."
🇸🇴,Somalia. Somalia. flag. A republic in extreme eastern Africa on the Somali peninsula; subject to tribal warfare
👩🏾‍⚕️,"woman health worker: medium-dark skin tone. woman health worker: medium-dark skin tone. doctor, nurse, medium-dark skin tone, healthcare, woman, therapist. A woman is a female human."
🇸🇳,Senegal. Senegal. flag. Official name of Senegal.
🇸🇲,San Marino. San Marino. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇸🇱,"Sierra Leone. Sierra Leone. flag. The flag of Sierra Leone is a tricolor consisting of three horizontal green, white and blue bands."
🇸🇰,Slovakia. Slovakia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🚶🏼‍♂️,"man walking: medium-light skin tone. man walking: medium-light skin tone. walk, medium-light skin tone, hike, man. Sexual maturity is the age or stage when an organism can reproduce."
🙅‍♂️,"man gesturing NO. man gesturing NO. hand, forbidden, gesture, prohibited, no, man. That part of the fore limb below the forearm or wrist in primates (including humans)."
🚣🏻‍♀️,"woman rowing boat: light skin tone. woman rowing boat: light skin tone. rowboat, light skin tone, woman, boat. A woman is a female human."
🇸🇯,Svalbard & Jan Mayen. Svalbard & Jan Mayen. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇸🇮,Slovenia. Slovenia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇸🇭,St. Helena. St. Helena. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇸🇬,Singapore. Singapore. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇸🇪,Sweden. Sweden. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🏋🏻‍♀️,"woman lifting weights: light skin tone. woman lifting weights: light skin tone. light skin tone, weight lifter, woman"
🇸🇩,Sudan. Sudan. flag. A republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
🇸🇨,Seychelles. Seychelles. flag. A republic on the Seychelles islands; achieved independence from the United Kingdom in 1976
🇸🇧,Solomon Islands. Solomon Islands. flag. A country in Melanesia.
🇸🇦,Saudi Arabia. Saudi Arabia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
⛹🏻‍♂️,"man bouncing ball: light skin tone. man bouncing ball: light skin tone. light skin tone, ball, man"
🙍🏿,"person frowning: dark skin tone. person frowning: dark skin tone. dark skin tone, gesture, frown. A woman is a female human."
🙍🏾,"person frowning: medium-dark skin tone. person frowning: medium-dark skin tone. gesture, medium-dark skin tone, frown. A woman is a female human."
🙍🏽,"person frowning: medium skin tone. person frowning: medium skin tone. gesture, frown, medium skin tone. A woman is a female human."
💁🏾‍♀️,"woman tipping hand: medium-dark skin tone. woman tipping hand: medium-dark skin tone. sassy, medium-dark skin tone, woman, tipping hand. A woman is a female human."
🤹🏽‍♀️,"woman juggling: medium skin tone. woman juggling: medium skin tone. multitask, juggling, woman, medium skin tone. A woman is a female human."
🙍🏼,"person frowning: medium-light skin tone. person frowning: medium-light skin tone. medium-light skin tone, gesture, frown. A woman is a female human."
🙍🏻,"person frowning: light skin tone. person frowning: light skin tone. light skin tone, gesture, frown. A woman is a female human."
🤷🏻‍♀️,"woman shrugging: light skin tone. woman shrugging: light skin tone. light skin tone, woman, indifference, shrug, ignorance, doubt. A woman is a female human."
👩🏽‍🔬,"woman scientist: medium skin tone. woman scientist: medium skin tone. mathematician, engineer, woman, physicist, chemist, biologist, scientist, medium skin tone. A woman is a female human."
👩🏽‍🔧,"woman mechanic: medium skin tone. woman mechanic: medium skin tone. electrician, tradesperson, plumber, woman, mechanic, medium skin tone. A woman is a female human."
🙇🏿‍♂️,"man bowing: dark skin tone. man bowing: dark skin tone. favor, dark skin tone, apology, gesture, sorry, bowing, man. Remorse is an emotional expression of personal regret felt by a person after he or she has committed an act which they deem to be shameful, hurtful, or violent."
🇹🇿,"Tanzania. Tanzania. flag. The flag of Tanzania consists of a yellow-edged black diagonal band divided diagonally from the lower hoist-side corner, with a green upper triangle and blue lower triangle."
🇹🇼,Taiwan. Taiwan. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇹🇻,Tuvalu. Tuvalu. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇹🇹,Trinidad & Tobago. Trinidad & Tobago. flag. Tobago is the smaller of the two main islands that make up the Republic of Trinidad and Tobago.
🇹🇷,Turkey. Turkey. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
👩🏾‍⚖️,"woman judge: medium-dark skin tone. woman judge: medium-dark skin tone. judge, medium-dark skin tone, woman, scales. A woman is a female human."
🇹🇴,Tonga. Tonga. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇹🇳,Tunisia. Tunisia. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇹🇲,Turkmenistan. Turkmenistan. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇹🇱,Timor-Leste. Timor-Leste. flag. An island in the Sundas
🇹🇰,Tokelau. Tokelau. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
👳🏼‍♀️,"woman wearing turban: medium-light skin tone. woman wearing turban: medium-light skin tone. turban, medium-light skin tone, woman. A woman is a female human."
🇹🇯,Tajikistan. Tajikistan. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇹🇭,"Thailand. Thailand. flag. The flag of the Kingdom of Thailand shows five horizontal stripes in the colors red, white, blue, white and red, with the central blue stripe being twice as wide as each of the other four."
🇹🇬,"Togo. Togo. flag. The flag of Togo was adopted on April 27, 1960."
🇹🇫,French Southern Territories. French Southern Territories. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
®,registered. registered. registered. A visible indication.
🇹🇩,Chad. Chad. flag. Emblem usually consisting of a rectangular piece of cloth of distinctive design
🇹🇨,Turks & Caicos Islands. Turks & Caicos Islands. flag. The flag of the Turks and Caicos Islands is similar to the flags of other British dependencies and colonies as it has the Union Flag in the canton.
🇹🇦,Tristan da Cunha. Tristan da Cunha. flag. Group of British islands in the south Atlantic Ocean.
©,"copyright. copyright. copyright. The right of a person or entity to use software in a particular way, as described in the terms of the license agreement. Copyright law also limits how a person may use the software. A person needs a license agreement for each software program they use."
🙎🏿,"person pouting: dark skin tone. person pouting: dark skin tone. dark skin tone, pouting, gesture. A woman is a female human."
🙎🏾,"person pouting: medium-dark skin tone. person pouting: medium-dark skin tone. pouting, gesture, medium-dark skin tone. A woman is a female human."
🙎🏽,"person pouting: medium skin tone. person pouting: medium skin tone. pouting, gesture, medium skin tone. A woman is a female human."
🙎🏼,"person pouting: medium-light skin tone. person pouting: medium-light skin tone. pouting, medium-light skin tone, gesture. A woman is a female human."
🙎🏻,"person pouting: light skin tone. person pouting: light skin tone. light skin tone, pouting, gesture. A woman is a female human."
👨🏿‍💼,"man office worker: dark skin tone. man office worker: dark skin tone. dark skin tone, manager, business, office, architect, white-collar, man. A person who designs, as profession."
👨🏿‍💻,"man technologist: dark skin tone. man technologist: dark skin tone. dark skin tone, coder, developer, software, technologist, inventor, man. Someone who is the first to think of or make something."
👨🏻‍💼,"man office worker: light skin tone. man office worker: light skin tone. light skin tone, manager, business, office, architect, white-collar, man. A person who designs, as profession."
🤼‍♂️,"men wrestling. men wrestling. wrestle, men. A close hand-to-hand struggle."
👨🏻‍💻,"man technologist: light skin tone. man technologist: light skin tone. light skin tone, coder, developer, software, technologist, inventor, man. Someone who is the first to think of or make something."
👆🏿,"backhand index pointing up: dark skin tone. backhand index pointing up: dark skin tone. up, point, dark skin tone, hand, backhand, index, finger. The finger next to the thumb"
👆🏾,"backhand index pointing up: medium-dark skin tone. backhand index pointing up: medium-dark skin tone. up, point, hand, backhand, index, medium-dark skin tone, finger. The finger next to the thumb"
👆🏽,"backhand index pointing up: medium skin tone. backhand index pointing up: medium skin tone. up, point, hand, backhand, index, finger, medium skin tone. The finger next to the thumb"
👆🏼,"backhand index pointing up: medium-light skin tone. backhand index pointing up: medium-light skin tone. up, point, hand, backhand, index, medium-light skin tone, finger. The finger next to the thumb"
👆🏻,"backhand index pointing up: light skin tone. backhand index pointing up: light skin tone. up, point, light skin tone, hand, backhand, index, finger. The finger next to the thumb"
🛶,"canoe. canoe. canoe, boat. A small long and narrow boat, propelled by one or more people (depending on the size of canoe), using single-bladed paddles. The paddlers face in the direction of travel, in either a seated position, or kneeling on the bottom of the boat. Canoes are open on top, and pointed at both ends."
🛵,"motor scooter. motor scooter. scooter, motor. A small motorcycle with a step-through frame and a platform for the feet."
🛴,"kick scooter. kick scooter. scooter, kick. A kick scooter, push scooter or scooter, is a human-powered land vehicle with a handlebar, deck and wheels that is propelled by a rider pushing off the ground."
🛳,"passenger ship. passenger ship. passenger, ship. A ship is a large buoyant watercraft."
🏄🏼‍♀️,"woman surfing: medium-light skin tone. woman surfing: medium-light skin tone. medium-light skin tone, woman, surfing. A woman is a female human."
🛰,satellite. satellite. space. Satellite navigation system
👨🏼‍🏭,"man factory worker: medium-light skin tone. man factory worker: medium-light skin tone. industrial, factory, assembly, medium-light skin tone, worker, man. A member of the working class (not necessarily employed)"
👨🏼‍🏫,"man teacher: medium-light skin tone. man teacher: medium-light skin tone. instructor, professor, medium-light skin tone, teacher, man. A person who, or a thing which, educates"
🛬,"airplane arrival. airplane arrival. landing, arriving, airplane, arrivals, aeroplane. An aerodrome or airdrome is a location from which aircraft flight operations take place, regardless of whether they involve cargo, passengers, or neither."
🛫,"airplane departure. airplane departure. airplane, check-in, departures, departure, aeroplane. The act of checking in at a hotel, airport etc"
🚴🏿‍♀️,"woman biking: dark skin tone. woman biking: dark skin tone. dark skin tone, bicycle, cyclist, woman, biking. A woman is a female human."
🛩,"small airplane. small airplane. airplane, aeroplane. A facility consisting of the means and equipment necessary for the movement of passengers or goods"
🛥,"motor boat. motor boat. motorboat, boat. A ship is a large buoyant watercraft."
🛤,"railway track. railway track. railway, train. The permanent way; the rails."
🛣,"motorway. motorway. road, highway. The highest-grade type of highway with access ramps, lane dividers, etc., for high-speed traffic"
🛢,"oil drum. oil drum. drum, oil. A dark oil consisting mainly of hydrocarbons"
🛡,shield. shield. weapon
👨🏾‍✈️,"man pilot: medium-dark skin tone. man pilot: medium-dark skin tone. plane, medium-dark skin tone, pilot, man. Person actively involved in flying an aircraft"
🛠,"hammer and wrench. hammer and wrench. hammer, tool, wrench, spanner. A hand tool"
🙍🏼‍♂️,"man frowning: medium-light skin tone. man frowning: medium-light skin tone. frowning, medium-light skin tone, gesture, man. Wrinkling of the brows or face."
👮🏿‍♂️,"man police officer: dark skin tone. man police officer: dark skin tone. dark skin tone, officer, police, man, cop. Any person in the armed services who holds a position of authority or command"
🚣🏻‍♂️,"man rowing boat: light skin tone. man rowing boat: light skin tone. rowboat, light skin tone, man, boat. A small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled"
🛒,"shopping cart. shopping cart. trolley, shopping, cart. Recently bought goods."
🛑,"stop sign. stop sign. sign, stop, octagonal. An eight-sided polygon"
🛐,"place of worship. place of worship. worship, religion. A place for public (especially Christian) worship"
🛏,"bed. bed. sleep, hotel. A natural and periodic state of rest during which consciousness of the world is suspended"
🏋🏻‍♂️,"man lifting weights: light skin tone. man lifting weights: light skin tone. light skin tone, weight lifter, man"
🛎,"bellhop bell. bellhop bell. bell, bellhop, hotel. Someone employed as an errand boy and luggage carrier around hotels"
🛍,"shopping bags. shopping bags. bag, shopping, hotel. A shopping mall, shopping center/centre, shopping arcade, shopping precinct, or simply just a mall is one or more buildings forming a complex of shops representing merchandisers, with interconnecting walkways enabling visitors to walk from unit to unit."
🛌,"person in bed. person in bed. sleep, hotel. A natural and periodic state of rest during which consciousness of the world is suspended"
🚴‍♀️,"woman biking. woman biking. bicycle, cyclist, woman, biking. A woman is a female human."
🛋,"couch and lamp. couch and lamp. couch, hotel, lamp. A furniture set of sofas and chairs"
